"d"	"f"	"o"	"n"
"461"	5	45	0.490909090909091	0.12916175578724
"462"	5	46	0.472727272727273	0.145606226031775
"463"	5	47	0.4	0.225014088667236
"464"	5	48	0.545454545454545	0.0874530601806711
"465"	5	49	0.394512015836946	0.229872665269097
"466"	5	50	0.6	0.0561788662417929
"467"	5	51	0.490909090909091	0.12916175578724
"468"	5	52	0.472727272727273	0.145606226031775
"469"	5	53	0.4	0.225014088667236
"470"	5	54	-0.527272727272727	0.100128813234869
"471"	5	55	-0.5	0.12142915576969
"472"	5	56	-0.636363636363636	0.0403864039827663
"473"	5	57	0.281818181818182	0.402135894917861
"474"	5	58	0.318181818181818	0.341354869770817
"475"	5	59	0.618181818181818	0.0478169053553036
"476"	5	60	-0.527272727272727	0.100128813234869
"477"	5	61	-0.5	0.12142915576969
"478"	5	62	-0.636363636363636	0.0403864039827663
"479"	5	63	-0.0272727272727273	0.945983670156841
"480"	5	64	0.181157891956663	0.593982459562779
"481"	5	65	-0.336363636363636	0.313026082995925
"482"	5	66	0.6	0.0561788662417929
"483"	5	67	NA	NA
"484"	5	68	-0.0363636363636364	0.924426257832482
"485"	5	69	0.518181818181818	0.106918151178142
"486"	5	70	0.5	0.117306803014238
"487"	5	71	-0.136363636363636	0.693511174791049
"488"	6	9	0.220192753025272	0.515307485611686
"489"	6	10	0.339463827580628	0.307102493519774
"490"	6	11	0.366987921708787	0.266911027331621
"491"	6	12	0.27524094128159	0.412687797958505
"492"	6	13	0.277777777777778	0.408216709829787
"493"	6	14	-0.137620470640795	0.686570584150372
"494"	6	15	0.220192753025272	0.515307485611686
"495"	6	16	0.339463827580628	0.307102493519774
"496"	6	17	0.366987921708787	0.266911027331621
"497"	6	18	-0.082572282384477	0.809275856813226
"498"	6	19	-0.247716847153431	0.462693557644972
"499"	6	20	0.0733975843417574	0.830184743518939
"500"	6	21	-0.467909600178703	0.146674286777004
"501"	6	22	-0.458734902135984	0.155842955629683
"502"	6	23	-0.183493960854393	0.589150557249191
"503"	6	24	-0.082572282384477	0.809275856813226
"504"	6	25	-0.247716847153431	0.462693557644972
"505"	6	26	0.0733975843417574	0.830184743518939
"506"	6	45	0.220192753025272	0.515307485611686
"507"	6	46	0.339463827580628	0.307102493519774
"508"	6	47	0.366987921708787	0.266911027331621
"509"	6	48	0.27524094128159	0.412687797958505
"510"	6	49	0.277777777777778	0.408216709829787
"511"	6	50	-0.137620470640795	0.686570584150372
"512"	6	51	0.220192753025272	0.515307485611686
"513"	6	52	0.339463827580628	0.307102493519774
"514"	6	53	0.366987921708787	0.266911027331621
"515"	6	54	-0.082572282384477	0.809275856813226
"516"	6	55	-0.247716847153431	0.462693557644972
"517"	6	56	0.0733975843417574	0.830184743518939
"518"	6	57	-0.467909600178703	0.146674286777004
"519"	6	58	-0.458734902135984	0.155842955629683
"520"	6	59	-0.183493960854393	0.589150557249191
"521"	6	60	-0.082572282384477	0.809275856813226
"522"	6	61	-0.247716847153431	0.462693557644972
"523"	6	62	0.0733975843417574	0.830184743518939
"524"	7	9	NA	NA
"525"	7	10	NA	NA
"526"	7	11	NA	NA
"527"	7	12	NA	NA
"528"	7	13	NA	NA
"529"	7	14	NA	NA
"530"	7	15	NA	NA
"531"	7	16	NA	NA
"532"	7	17	NA	NA
"533"	7	18	NA	NA
"534"	7	19	NA	NA
"535"	7	20	NA	NA
"536"	7	21	NA	NA
"537"	7	22	NA	NA
"538"	7	23	NA	NA
"539"	7	24	NA	NA
"540"	7	25	NA	NA
"541"	7	26	NA	NA
"542"	7	45	NA	NA
"543"	7	46	NA	NA
"544"	7	47	NA	NA
"545"	7	48	NA	NA
"546"	7	49	NA	NA
"547"	7	50	NA	NA
"548"	7	51	NA	NA
"549"	7	52	NA	NA
"550"	7	53	NA	NA
"551"	7	54	NA	NA
"552"	7	55	NA	NA
"553"	7	56	NA	NA
"554"	7	57	NA	NA
"555"	7	58	NA	NA
"556"	7	59	NA	NA
"557"	7	60	NA	NA
"558"	7	61	NA	NA
"559"	7	62	NA	NA
"560"	8	9	0.545454545454545	0.0874530601806711
"561"	8	10	0.445454545454545	0.172786506584626
"562"	8	11	0.254545454545455	0.451196804369117
"563"	8	12	0.563636363636364	0.0759390758518602
"564"	8	13	0.422036109965105	0.196022378620094
"565"	8	14	0.954545454545455	0
"566"	8	15	0.545454545454545	0.0874530601806711
"567"	8	16	0.445454545454545	0.172786506584626
"568"	8	17	0.254545454545455	0.451196804369117
"569"	8	18	-0.318181818181818	0.341354869770817
"570"	8	19	-0.3	0.371067789395024
"571"	8	20	-0.463636363636364	0.154327160537791
"572"	8	21	0.2	0.557553078061045
"573"	8	22	0.154545454545455	0.653538937959263
"574"	8	23	0.990909090909091	0
"575"	8	24	-0.318181818181818	0.341354869770817
"576"	8	25	-0.3	0.371067789395024
"577"	8	26	-0.463636363636364	0.154327160537791
"578"	8	45	0.545454545454545	0.0874530601806711
"579"	8	46	0.445454545454545	0.172786506584626
"580"	8	47	0.254545454545455	0.451196804369117
"581"	8	48	0.563636363636364	0.0759390758518602
"582"	8	49	0.422036109965105	0.196022378620094
"583"	8	50	0.954545454545455	0
"584"	8	51	0.545454545454545	0.0874530601806711
"585"	8	52	0.445454545454545	0.172786506584626
"586"	8	53	0.254545454545455	0.451196804369117
"587"	8	54	-0.318181818181818	0.341354869770817
"588"	8	55	-0.3	0.371067789395024
"589"	8	56	-0.463636363636364	0.154327160537791
"590"	8	57	0.2	0.557553078061045
"591"	8	58	0.154545454545455	0.653538937959263
"592"	8	59	0.990909090909091	0
"593"	8	60	-0.318181818181818	0.341354869770817
"594"	8	61	-0.3	0.371067789395024
"595"	8	62	-0.463636363636364	0.154327160537791
"596"	3	6	1	1
"597"	3	7	NA	NA
"598"	3	8	1	1
"599"	3	9	-1	1
"600"	3	10	-1	1
"601"	3	11	-1	1
"602"	3	12	-1	1
"603"	3	13	-1	1
"604"	3	14	-1	1
"605"	3	15	-1	1
"606"	3	16	-1	1
"607"	3	17	-1	1
"608"	3	18	1	1
"609"	3	19	1	1
"610"	3	20	1	1
"611"	3	21	-1	1
"612"	3	22	-1	1
"613"	3	23	-1	1
"614"	3	24	1	1
"615"	3	25	1	1
"616"	3	26	1	1
"617"	3	27	-1	1
"618"	3	28	-1	1
"619"	3	29	-1	1
"620"	3	30	-1	1
"621"	3	31	NA	NA
"622"	3	32	-1	1
"623"	3	33	-1	1
"624"	3	34	NA	NA
"625"	3	35	-1	1
"626"	3	36	1	1
"627"	3	37	1	1
"628"	3	38	-1	1
"629"	3	42	1	1
"630"	3	43	NA	NA
"631"	3	44	1	1
"632"	3	45	-1	1
"633"	3	46	-1	1
"634"	3	47	-1	1
"635"	3	48	-1	1
"636"	3	49	-1	1
"637"	3	50	-1	1
"638"	3	51	-1	1
"639"	3	52	-1	1
"640"	3	53	-1	1
"641"	3	54	1	1
"642"	3	55	1	1
"643"	3	56	1	1
"644"	3	57	-1	1
"645"	3	58	-1	1
"646"	3	59	-1	1
"647"	3	60	1	1
"648"	3	61	1	1
"649"	3	62	1	1
"650"	3	63	-1	1
"651"	3	64	-1	1
"652"	3	65	-1	1
"653"	3	66	-1	1
"654"	3	67	NA	NA
"655"	3	68	-1	1
"656"	3	69	-1	1
"657"	3	70	NA	NA
"658"	3	71	-1	1
"659"	4	6	NA	NA
"660"	4	7	NA	NA
"661"	4	8	NA	NA
"662"	4	9	NA	NA
"663"	4	10	NA	NA
"664"	4	11	NA	NA
"665"	4	12	NA	NA
"666"	4	13	NA	NA
"667"	4	14	NA	NA
"668"	4	15	NA	NA
"669"	4	16	NA	NA
"670"	4	17	NA	NA
"671"	4	18	NA	NA
"672"	4	19	NA	NA
"673"	4	20	NA	NA
"674"	4	21	NA	NA
"675"	4	22	NA	NA
"676"	4	23	NA	NA
"677"	4	24	NA	NA
"678"	4	25	NA	NA
"679"	4	26	NA	NA
"680"	4	27	NA	NA
"681"	4	28	NA	NA
"682"	4	29	NA	NA
"683"	4	30	NA	NA
"684"	4	31	NA	NA
"685"	4	32	NA	NA
"686"	4	33	NA	NA
"687"	4	34	NA	NA
"688"	4	35	NA	NA
"689"	4	36	NA	NA
"690"	4	37	NA	NA
"691"	4	38	NA	NA
"692"	4	42	NA	NA
"693"	4	43	NA	NA
"694"	4	44	NA	NA
"695"	4	45	NA	NA
"696"	4	46	NA	NA
"697"	4	47	NA	NA
"698"	4	48	NA	NA
"699"	4	49	NA	NA
"700"	4	50	NA	NA
"701"	4	51	NA	NA
"702"	4	52	NA	NA
"703"	4	53	NA	NA
"704"	4	54	NA	NA
"705"	4	55	NA	NA
"706"	4	56	NA	NA
"707"	4	57	NA	NA
"708"	4	58	NA	NA
"709"	4	59	NA	NA
"710"	4	60	NA	NA
"711"	4	61	NA	NA
"712"	4	62	NA	NA
"713"	4	63	NA	NA
"714"	4	64	NA	NA
"715"	4	65	NA	NA
"716"	4	66	NA	NA
"717"	4	67	NA	NA
"718"	4	68	NA	NA
"719"	4	69	NA	NA
"720"	4	70	NA	NA
"721"	4	71	NA	NA
"722"	5	6	1	1
"723"	5	7	NA	NA
"724"	5	8	1	1
"725"	5	9	-1	1
"726"	5	10	-1	1
"727"	5	11	-1	1
"728"	5	12	-1	1
"729"	5	13	-1	1
"730"	5	14	-1	1
"731"	5	15	-1	1
"732"	5	16	-1	1
"733"	5	17	-1	1
"734"	5	18	1	1
"735"	5	19	1	1
"736"	5	20	1	1
"737"	5	21	-1	1
"738"	5	22	-1	1
"739"	5	23	-1	1
"740"	5	24	1	1
"741"	5	25	1	1
